index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
0,0.5047923322683706,0.4880382775119617,0.486762626911708,0.4905149051490515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.19808306709265175,0.215311004784689,0.5,0.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0.03954267501831055
2,0.329073482428115,0.3444976076555024,0.25983164117722657,0.2709349593495935,2,0,0,0,0,0,1,0,0,1,0,1,1,0.03276395797729492
3,0.16613418530351437,0.1674641148325359,0.24325279527053079,0.24376693766937668,2,0,0,1,0,0,1,0,0,1,0,2,1,0.03560614585876465
4,0.19808306709265175,0.21052631578947367,0.5,0.5,3,0,1,1,0,0,1,0,0,1,0,2,2,0.03073596954345703
5,0.26198083067092653,0.291866028708134,0.2362164246240843,0.2504742547425474,3,0,1,1,0,0,1,1,0,1,0,3,2,0.030877113342285156
6,0.26517571884984026,0.291866028708134,0.23820845649659428,0.2504742547425474,3,0,1,1,0,0,1,1,0,2,0,4,2,0.03061509132385254
7,0.3961661341853035,0.3827751196172249,0.2773743734738466,0.2872628726287263,4,0,1,1,0,0,2,1,0,2,0,4,3,0.029435157775878906
8,0.38338658146964855,0.37320574162679426,0.275478730240329,0.2670054200542005,5,0,1,1,0,0,2,1,1,2,0,4,4,0.02916097640991211
9,0.8019169329073482,0.7894736842105263,0.5,0.5111111111111111,6,0,1,1,0,0,2,1,2,2,0,4,5,0.03041672706604004
10,0.5463258785942492,0.5550239234449761,0.35885490296877004,0.3667344173441734,7,0,1,1,0,1,2,1,2,2,0,5,5,0.026855945587158203
11,0.4057507987220447,0.39712918660287083,0.28335046909137646,0.28224932249322493,8,0,1,1,0,2,2,1,2,2,0,6,5,0.02901601791381836
12,0.3929712460063898,0.3875598086124402,0.2753823416013366,0.2872628726287263,9,0,1,1,0,2,3,1,2,2,0,6,6,0.027991056442260742
13,0.3865814696485623,0.37320574162679426,0.27139827785631665,0.2700542005420054,10,0,1,1,0,3,3,1,2,2,0,7,6,0.028469085693359375
14,0.3226837060702875,0.3253588516746411,0.25584757743220665,0.2556910569105691,11,0,1,1,0,4,3,1,2,2,0,8,6,0.027577877044677734
15,0.35782747603833864,0.36363636363636365,0.4477894872124406,0.4221544715447154,12,0,1,1,0,4,4,1,2,2,0,8,7,0.026623010635375977
16,0.35782747603833864,0.3588516746411483,0.4720794242385298,0.4463414634146341,13,0,1,2,0,4,4,1,2,2,0,9,7,0.026845932006835938
17,0.3769968051118211,0.36363636363636365,0.44759670993445577,0.4282520325203252,14,0,1,2,0,5,4,1,2,2,0,10,7,0.026957988739013672
18,0.3194888178913738,0.3253588516746411,0.259928029816219,0.244579945799458,14,0,1,2,0,5,4,1,2,3,0,11,7,0.02684497833251953
19,0.3194888178913738,0.32057416267942584,0.259928029816219,0.244579945799458,14,0,1,2,0,5,4,2,2,3,0,12,7,0.027132272720336914
20,0.3354632587859425,0.3588516746411483,0.2577432206657242,0.26592140921409213,15,0,1,2,0,5,4,2,2,3,1,12,8,0.02618718147277832
21,0.3258785942492013,0.3349282296650718,0.2578396093047166,0.2537262872628726,16,0,1,2,0,5,4,2,2,4,1,13,8,0.027463912963867188
22,0.3354632587859425,0.36363636363636365,0.2577432206657242,0.268970189701897,16,0,1,2,0,5,5,2,2,4,1,13,9,0.026000022888183594
23,0.329073482428115,0.3349282296650718,0.25983164117722657,0.2537262872628726,16,0,1,2,0,6,5,2,2,4,1,14,9,0.026777029037475586
24,0.2971246006389776,0.3157894736842105,0.25205629096517157,0.23848238482384823,16,0,1,2,0,6,5,2,2,5,1,15,9,0.026054859161376953
25,0.2523961661341853,0.27751196172248804,0.23024032900655442,0.23326558265582656,17,0,1,3,0,6,5,2,2,5,1,16,9,0.026401042938232422
26,0.268370607028754,0.3014354066985646,0.24020048836910424,0.2565718157181572,17,0,1,3,0,6,5,2,2,5,2,16,10,0.025917768478393555
27,0.3258785942492013,0.3253588516746411,0.2578396093047166,0.258739837398374,17,0,1,3,0,6,5,2,2,5,3,16,11,0.026062726974487305
28,0.3226837060702875,0.3253588516746411,0.26192006168872894,0.2556910569105691,18,0,1,3,0,6,5,2,2,6,3,17,11,0.02625107765197754
29,0.26517571884984026,0.291866028708134,0.23820845649659428,0.23936314363143632,19,0,1,3,0,6,5,2,2,7,3,18,11,0.026090145111083984
30,0.268370607028754,0.3062200956937799,0.24020048836910424,0.24850948509485096,20,0,1,3,0,6,5,2,2,7,4,18,12,0.0262300968170166
31,0.268370607028754,0.291866028708134,0.24020048836910424,0.2535230352303523,21,0,1,3,0,6,5,2,2,8,4,19,12,0.026096105575561523
32,0.2779552715654952,0.3062200956937799,0.2461765839866341,0.24850948509485096,22,0,1,3,0,6,5,2,2,8,5,19,13,0.025557994842529297
33,0.28753993610223644,0.3157894736842105,0.252152679604164,0.26266937669376694,23,0,1,3,0,6,5,2,2,9,5,20,13,0.026288747787475586
34,0.28434504792332266,0.3157894736842105,0.2683781005012209,0.2868563685636856,24,0,1,3,0,6,5,2,2,10,5,21,13,0.025700092315673828
35,0.2779552715654952,0.31100478468899523,0.2583215524996787,0.2787940379403794,24,0,1,3,0,6,5,2,2,10,6,21,14,0.026311159133911133
36,0.28434504792332266,0.3062200956937799,0.2805230690142655,0.291869918699187,25,0,1,3,0,6,5,3,2,10,6,22,14,0.026018857955932617
37,0.28434504792332266,0.31100478468899523,0.2683781005012209,0.2757452574525745,26,0,1,3,0,6,5,4,2,10,6,23,14,0.02741217613220215
38,0.28434504792332266,0.3157894736842105,0.2683781005012209,0.28489159891598914,27,0,1,3,0,6,5,4,3,10,6,23,15,0.027070045471191406
39,0.28434504792332266,0.3157894736842105,0.2683781005012209,0.28489159891598914,28,0,1,3,0,6,5,4,3,11,6,24,15,0.025981903076171875
40,0.28434504792332266,0.32057416267942584,0.2683781005012209,0.27378048780487807,29,1,1,3,0,6,5,4,3,11,6,25,15,0.02603316307067871
41,0.29073482428115016,0.32057416267942584,0.2723621642462408,0.27378048780487807,30,1,1,3,0,6,5,4,3,11,7,25,16,0.02549576759338379
42,0.28753993610223644,0.32057416267942584,0.2582251638606863,0.2657181571815718,31,1,1,3,0,6,5,4,3,12,7,26,16,0.025810956954956055
43,0.28753993610223644,0.32057416267942584,0.2582251638606863,0.27682926829268295,32,1,1,3,0,6,5,5,3,12,7,27,16,0.02609395980834961
44,0.268370607028754,0.291866028708134,0.2523454568821488,0.26964769647696474,33,1,1,3,0,6,5,5,3,13,7,28,16,0.026215791702270508
45,0.2715654952076677,0.31100478468899523,0.2543374887546588,0.2787940379403794,34,1,1,3,0,6,5,5,3,13,8,28,17,0.02728414535522461
46,0.28753993610223644,0.3062200956937799,0.2582251638606863,0.24850948509485096,35,1,1,3,0,6,5,6,3,13,8,29,17,0.026629924774169922
